,date_time,tweet_id,author_id,tweet_text,account,cleaned_text,hashtags
0,2022-02-24T07:00:36.000Z,1496741835783667712,203123011,A Calgary seniors residence is bringing circus performers to entertain residents. Kevin Fleming reports. https://t.co/jed4F8WvOH https://t.co/u2HZU0OKxA,CTVNews,A Calgary seniors residence is bringing circus performers to entertain residents. Kevin Fleming reports.,[]
1,2022-02-15T09:30:17.000Z,1493518014502871041,203123011,"Older adults process too much information, leading to cluttered memories: study https://t.co/V1LD0KQhw3 https://t.co/TGRU36O3E9",CTVNews,"Older adults process too much information, leading to cluttered memories: study",[]
2,2022-02-14T23:30:23.000Z,1493367045865582592,203123011,"Older adults process too much information, leading to cluttered memories: study https://t.co/x0TqUpf0hF https://t.co/uYVin1iDkP",CTVNews,"Older adults process too much information, leading to cluttered memories: study",[]
3,2022-02-13T15:00:11.000Z,1492876259919020035,203123011,Valentine's cards for seniors https://t.co/xChiTw9UEX https://t.co/2EO71kSoJU,CTVNews,Valentine's cards for seniors,[]
4,2022-02-10T19:00:25.000Z,1491849555394330625,203123011,"A Midland, Ont., man created a hockey stick to make the game more accessible to young kids, seniors and those with disabilities. https://t.co/mxTXCjAxap https://t.co/03p3K0M3NU",CTVNews,"A Midland, Ont., man created a hockey stick to make the game more accessible to young kids, seniors and those with disabilities.",[]
5,2022-02-10T14:00:23.000Z,1491774047897726982,203123011,Sarnia Blessings re-launching to serve seniors and vulnerable community one meal at a time. CTV's Reta Ismail reports. https://t.co/0b5rtz7l9Q https://t.co/2vsnS5Wm4P,CTVNews,Sarnia Blessings re-launching to serve seniors and vulnerable community one meal at a time. CTV's Reta Ismail reports.,[]
6,2022-01-21T20:45:08.000Z,1484628148507619330,203123011,NDP calls on government to give emergency one-off payment to desperate seniors https://t.co/4eAAys7sgL https://t.co/dO9QnY1wpS,CTVNews,NDP calls on government to give emergency one-off payment to desperate seniors,[]
7,2022-01-07T10:00:56.000Z,1479392601337966597,203123011,Some seniors in long-term care are now living their lives confined to their rooms. Avis Favaro has the details. https://t.co/PF649HmwRV https://t.co/hCKZDQoiFM,CTVNews,Some seniors in long-term care are now living their lives confined to their rooms. Avis Favaro has the details.,[]
8,2022-01-07T02:32:43.000Z,1479279801777152004,203123011,"As Omicron hits long-term care homes, seniors feel the pain of isolation once again. Plus, a chat with the teenage police officer who helped shut down the last-ever Beatles concert in 1969.

More tonight on CTV National News at 11 p.m. https://t.co/ZVjwx9wdhX",CTVNews,"As Omicron hits long-term care homes, seniors feel the pain of isolation once again. Plus, a chat with the teenage police officer who helped shut down the last-ever Beatles concert in 1969. More tonight on CTV National News at 11 p.m.",[]
9,2021-12-17T22:57:36.000Z,1471977910978457601,203123011,"Dr. Kieran Moore, Ontario's chief medical officer of health, said Friday to follow COVID-19 safety measures carefully if visiting elderly or otherwise vulnerable relatives over the holidays.

Read more: https://t.co/flaYRohBXW https://t.co/IxIk6FmbTa",CTVNews,"Dr. Kieran Moore, Ontario's chief medical officer of health, said Friday to follow COVID-19 safety measures carefully if visiting elderly or otherwise vulnerable relatives over the holidays. Read more:",[]
10,2021-12-14T08:45:18.000Z,1470676259415941120,203123011,Thousands of holiday cards destined for Canadian seniors this Christmas https://t.co/vP3n20MlCa https://t.co/fadEhhrhl1,CTVNews,Thousands of holiday cards destined for Canadian seniors this Christmas,[]
11,2021-12-14T07:00:25.000Z,1470649862161145861,203123011,A non-profit group is sending some sunshine to seniors across the country this holiday season — one card at a time. Heather Butts reports. https://t.co/vfPMwaHddd https://t.co/JDY9ua4hOI,CTVNews,A non-profit group is sending some sunshine to seniors across the country this holiday season one card at a time. Heather Butts reports.,[]
12,2021-12-14T04:00:32.000Z,1470604593029652480,203123011,Thousands of holiday cards destined for Canadian seniors this Christmas https://t.co/bhEES67zzv https://t.co/m3UJTHincO,CTVNews,Thousands of holiday cards destined for Canadian seniors this Christmas,[]
13,2021-12-13T16:00:12.000Z,1470423317286899726,203123011,"Watch: Kathleen Finlay, founder of the ZeroNow Campaign, discusses her work helping seniors who received CERB but are now struggling https://t.co/wrZho8t6wK https://t.co/1KnqUjHyv8",CTVNews,"Watch: Kathleen Finlay, founder of the ZeroNow Campaign, discusses her work helping seniors who received CERB but are now struggling",[]
14,2021-12-10T07:30:21.000Z,1469207846994726913,203123011,Cataract surgery linked to decreased dementia risk in older adults: study https://t.co/XudqBofjM8 https://t.co/OQa2himQ8t,CTVNews,Cataract surgery linked to decreased dementia risk in older adults: study,[]
15,2021-12-09T23:00:57.000Z,1469079648386621448,203123011,Cataract surgery linked to decreased dementia risk in older adults: study https://t.co/GBBFuaNax8 https://t.co/aQPjvxBn1B,CTVNews,Cataract surgery linked to decreased dementia risk in older adults: study,[]
16,2021-11-19T20:15:07.000Z,1461790159054295052,203123011,"NDP calls on Liberals to detail impact of COVID aid on benefits to seniors, families https://t.co/4j0oa1nXjY https://t.co/RPZQq1ZA2D",CTVNews,"NDP calls on Liberals to detail impact of COVID aid on benefits to seniors, families",[]
17,2021-11-14T01:30:18.000Z,1459695152382025730,203123011,"Documents show impact of federal pandemic-era benefits on seniors, families https://t.co/557FOdQYAY https://t.co/DDdjkTXvdI",CTVNews,"Documents show impact of federal pandemic-era benefits on seniors, families",[]
18,2021-11-13T21:15:16.000Z,1459630968923426833,203123011,"Documents show impact of federal pandemic-era benefits on seniors, families https://t.co/poAO4cGpc3 https://t.co/tqlzuaqCfY",CTVNews,"Documents show impact of federal pandemic-era benefits on seniors, families",[]
