,date_time,tweet_id,author_id,tweet_text,account,cleaned_text,hashtags
23,2021-09-02T00:01:52.000Z,1433218581282578432,14216661,"Pink Cars with Toyota Badges: Helping seniors get vaxxed https://t.co/a6iGKswLYN — via @drivingdotca

#autonews",nationalpost,Pink Cars with Toyota Badges: Helping seniors get vaxxed via autonews,['autonews']
24,2021-08-22T10:44:39.000Z,1429394075535486979,14216661,"Raymond J. de Souza: America is a country governed by the elderly, and it's starting to show https://t.co/S1QEARCBQ0",nationalpost,"Raymond J. de Souza: America is a country governed by the elderly, and it's starting to show",[]
25,2021-08-19T21:48:59.000Z,1428474099693727749,14216661,"The study also found greater effectiveness in those receiving Moderna doses in comparison to those who received the Pfizer vaccine. https://t.co/Fofutt2fx7

— via @healthing_ca",nationalpost,The study also found greater effectiveness in those receiving Moderna doses in comparison to those who received the Pfizer vaccine. via,[]
26,2021-08-05T13:50:15.000Z,1423280190298357760,14216661,Seniors in 'complete shock' when income supplement cut after receiving emergency benefits https://t.co/VBNKaVdOIu https://t.co/2ardfMUNOw,nationalpost,Seniors in 'complete shock' when income supplement cut after receiving emergency benefits,[]
27,2021-07-27T13:10:34.000Z,1420008715118391298,14216661,"New rules boost financial protection for seniors, but getting them to opt in can be a delicate process https://t.co/vptEX4jaT9",nationalpost,"New rules boost financial protection for seniors, but getting them to opt in can be a delicate process",[]
28,2021-07-20T17:43:12.000Z,1417540607862509570,14216661,"Any type of tea can help counter obesity, stress and heart disease in young children, and reduce risk of stroke among the elderly, study says.
- via @healthing_ca https://t.co/ZUzkGksoSk",nationalpost,"Any type of tea can help counter obesity, stress and heart disease in young children, and reduce risk of stroke among the elderly, study says. - via",[]
29,2021-07-14T13:04:53.000Z,1415296242729488387,14216661,Older seniors to get extra Old Age Security in the coming months https://t.co/wp3WWG5aZG,nationalpost,Older seniors to get extra Old Age Security in the coming months,[]
30,2021-07-07T18:05:44.000Z,1412835237575499781,14216661,"Social isolation can affect the cognitive and psychological health of seniors. https://t.co/hUv9setpNH

— via @healthing_ca",nationalpost,Social isolation can affect the cognitive and psychological health of seniors. via,[]
31,2021-07-06T22:53:02.000Z,1412545152330121224,14216661,New Governor General proved the elder Trudeau wrong https://t.co/zmGOwVHKeB,nationalpost,New Governor General proved the elder Trudeau wrong,[]
32,2021-07-01T22:22:00.000Z,1410725401404461059,14216661,"Hundreds who died from heat exposure in B.C. were mostly seniors found alone in unventilated suites, says coroner https://t.co/6JJh8hzjpB",nationalpost,"Hundreds who died from heat exposure in B.C. were mostly seniors found alone in unventilated suites, says coroner",[]
33,2021-06-02T19:06:11.000Z,1400166876102148100,14216661,Updated: Nazi-looted painting in bizarre custody battle pitting U.S. college against elderly French heiress https://t.co/GKj2NSu9MX,nationalpost,Updated: Nazi-looted painting in bizarre custody battle pitting U.S. college against elderly French heiress,[]
34,2021-05-24T13:03:37.000Z,1396814141613084673,14216661,#ICYMI - Austrian hospital amputates wrong leg of elderly patient in 'tragic mistake' https://t.co/K60v7RH1TR,nationalpost,ICYMI - Austrian hospital amputates wrong leg of elderly patient in 'tragic mistake',['ICYMI']
35,2021-05-11T18:14:54.000Z,1392181438146035712,14216661,"Vaping is up across the board, but the biggest hikes were in female students. https://t.co/VvQxDi9h9o

— via @TheGrowthOp",nationalpost,"Vaping is up across the board, but the biggest hikes were in female students. via",[]
